id	name
R-HSA-9612973.2	Autophagy
R-HSA-1640170.3	Cell Cycle
R-HSA-1500931.5	Cell-Cell communication
R-HSA-8953897.5	Cellular responses to stimuli
R-HSA-4839726.2	Chromatin organization
R-HSA-400253.3	Circadian Clock
R-HSA-1266738.10	Developmental Biology
R-HSA-8963743.2	Digestion and absorption
R-HSA-1643685.15	Disease
R-HSA-73894.3	DNA Repair
R-HSA-69306.5	DNA Replication
R-HSA-9748784.2	Drug ADME
R-HSA-1474244.2	Extracellular matrix organization
R-HSA-74160.7	Gene expression (Transcription)
R-HSA-109582.3	Hemostasis
R-HSA-168256.7	Immune System
R-HSA-1430728.11	Metabolism
R-HSA-392499.9	Metabolism of proteins
R-HSA-8953854.6	Metabolism of RNA
R-HSA-397014.3	Muscle contraction
R-HSA-112316.7	Neuronal System
R-HSA-1852241.5	Organelle biogenesis and maintenance
R-HSA-5357801.2	Programmed Cell Death
R-HSA-9609507.2	Protein localization
R-HSA-1474165.3	Reproduction
R-HSA-9709957.3	Sensory Perception
R-HSA-162582.11	Signal Transduction
R-HSA-382551.5	Transport of small molecules
R-HSA-5653656.2	Vesicle-mediated transport
